China/Hong Kong,33,24,,,
Japan,30,33,,,
Korea,23,28,,,
Taiwan,8,8,,,
Other destinations,5,7,,,
,,,,,
Lettuce_16,2015,2016,,,
Canada,89,87,,,
Taiwam,5,6,,,
Other destinations,7,7,,,
,,,,,
Lemons_17,2015,2016,,,
Canada,28,33,,,
Japan,27,27,,,
South Korea,11,8,,,
China/Hong Kong,10,9,,,
European Union,9,5,,,
Australia,5,5,,,
Other destinations,9,13,,,
,,,,,
Dried Plums_18,2015,2016,,,
European Union,43,34,,,
Japan,18,21,,,
Canada,8,7,,,
Other destinations,31,38,,,
,,,,,
Peaches and Nectarines_19,2015,2016,,,
Canada,57,56,,,
Mexico ,18,17,,,
Taiwan ,12,13,,,
Australia,<5,5,,,
Other destinations,13,9,,,
,,,,,
Raspberries and Blackberries_204,2015,2016,,,
Canada ,85,78,,,
Japan ,7,7,,,
Other destinations,8,15,,,
,,,,,
Cauliflower_21,2015,2016,,,
Canada,81,79,,,
Japan,10,9,,,
Taiwan,6,8,,,
Other destinations,4,4,,,
,,,,,
Broccoli_22,2015,2016,,,
Canada ,74,60,,,
Japan ,20,31,,,
Taiwan ,<5,7,,,
Other destinations,6,2,,,
,,,,,
Flowers and Nursery_23,2015,2016,,,
Mexico,45,43,,,
Canada,38,31,,,
European Union,<5,8,,,
Peru,<5,6,,,
Other destinations,17,12,,,
,,,,,
Spinach_24,2015,2016,,,
Canada ,95,94,,,
Mexico,5,6,,,
Other destinations,0,0,,,
,,,,,
Onions_25,2015,2016,,,
Canada,46,49,,,
Mexico,13,11,,,
European Union,8,11,,,
Japan,7,7,,,
Taiwan,6,7,,,
Other destinations,20,15,,,
,,,,,
Cherries_26,2015,2016,,,
Canada,27,25,,,
China/Hong Kong,23,23,,,
Korea,21,21,,,
Japan,7,8,,,
Taiwan,7,8,,,
Other destinations,15,15,,,
,,,,,
Celery_27,2015,2016,,,
Canada,78,74,,,
Japan,5,7,,,
Taiwan,5,7,,,
China/Hong Kong,<5,5,,,
Other destinations,12,7,,,
,,,,,
Carrots_28,2015,2016,,,
Canada ,92,94,,,
Other destinations,8,6,,,
,,,,,
Plums_29,2015,2016,,,
Canada,42,38,,,
China/Hong Kong,28,35,,,
Taiwan,11,9,,,
Mexico,11,9,,,
Other destinations,9,9,,,
,,,,,
Melons_30,2015,2016,,,
Canada,87,83,,,
Mexico,5,6,,,
Japan,<5,5,,,
Other destinations,8,6,,,
,,,,,
Dates_31,2015,2016,,,
Australia,37,36,,,
Canada,27,26,,,
European Union,16,15,,,
Other destinations,20,23,,,
,,,,,
Tangerines and Mandarins_32,2015,2016,,,
Canada,53,50,,,
Japan,20,32,,,
European Union,8,7,,,
Other destinations,19,11,,,
,,,,,
Garlic_33,2015,2016,,,
Canada,44,33,,,
European Union,11,12,,,
Peru,<5,10,,,
Mexico,13,8,,,
Japan,5,6,,,
Indonesia,5,<5,,,
Other destinations,17,27,,,
,,,,,
Blueberries_34,2015,2016,,,
Canada ,59,64,,,
European Union,<5,13,,,
China/Hong Kong,11,5,,,
Japan,6,5,,,
Korea,7,<5,,,
Other destinations,24,14,,,
,,,,,
"Tomatoes, fresh_35",2015,2016,,,
Canada,82,94,,,
Mexico,15,<5,,,
Other destinations,3,4,,,
,,,,,
Olives and Olive Oil_36,2015,2016,,,
Canada,44,45,,,
Mexico,18,13,,,
Japan,8,8,,,
European Union,<5,<5,,,
Other destinations,25,25,,,
,,,,,
Pears_37,2015,2016,,,
Canada ,66,67,,,
Mexico ,17,19,,,
Other destinations,17,14,,,
,,,,,
Sweet Potatoes_38,2015,2016,,,
European Union,67,72,,,
Canada ,32,26,,,
Other destinations,2,2,,,
,,,,,
Grapefruit_39,2015,2016,,,
Japan,36,37,,,
European Union,26,26,,,
Canada,18,20,,,
Korea,10,10,,,
Other destinations,9,7,,,
,,,,,
Potatoes_40,2015,2016,,,
Canada ,45,43,,,
Mexico ,21,18,,,
Japan,5,9,,,
Taiwan,<5,9,,,
Other destinations,25,21,,,
,,,,,
Avocado_41,2015,2016,,,
Canada,52,26,,,
Japan,17,17,,,
Korea,16,14,,,
Singapore,8,6,,,
China/Hong Kong,<5,7,,,
Kuwait,<5,5,,,
United Arab Emirates,<5,5,,,
Other destinations,7,20,,,
,,,,,
Grape Juice_42,2015,2016,,,
Canada,65,69,,,
Japan,13,9,,,
China/Hong Kong,6,5,,,
Philippines,6,5,,,
Korea,<5,6,,,
Other destinations,6,6,,,
,,,,,
Bell and chili peppers_43,2015,2016,,,
Canada,94,95,,,
Other destinations,6,5,,,
,,,,,
Dry Beans_44,2015,2016,,,
European Union,43,36,,,
Canada,14,18,,,
Turkey,<5,6,,,
India,<5,5,,,
Japan,9,<5,,,
Other destinations,34,35,,,
,,,,,
Asparagus_47,2015,2016,,,
Canada,56,22,,,
Japan,19,27,,,
European Union,13,19,,,
Australia,<5,11,,,
Switzerland,<5,10,,,
Other destinations,13,11,,,
,,,,,
Apricots_48,2015,2016,,,
Canada,60,54,,,
Mexico,20,24,,,
Japan,9,9,,,
Other destinations,11,12,,,
,,,,,
Kiwi_49,2015,2016,,,
Mexico,58,45,,,
Canada,24,16,,,
European Union,9,<5,,,
Japan,5,33,,,
Other destinations,5,2,,,
,,,,,
Cabbage_50,2015,2016,,,
Canada,91,95,,,
Barbados,5,<5,,,
Other destinations,<5,<5,,,
,,,,,
Figs_51,2015,2016,,,
Canada ,49,48,,,
Mexico ,25,27,,,
Japan ,8,11,,,
China/Hong Kong,12,10,,,
Other destinations,7,4,,,
,,,,,
Cottonseed and byproducts_54,2015,2016,,,
Mexico,36,51,,,
Saudi Arabia,13,14,,,
Korea,15,11,,,
Canada,10,5,,,
European Union,<5,5,,,
Japan,12,<5,,,
China/Hong Kong,6,<5,,,
Other destinations,14,8,,,
,,,,,
Artichokes_57,2015,2016,,,
Canada ,74,70,,,
Mexico ,21,21,,,
Other destinations,5,9,,,
